"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"142",142,112,112,"DeAngelo Williams","RB","CAR",12,72,163,110.7021277,15.83816411,118,14,0.426877063,121.2,7.6
"143",143,113,113,"Anquan Boldin","WR","SF",8,83,159,114.8163265,17.80354639,114,15,0.377205135,107.7,6.7
"144",144,114,114,"Terrance West","RB","CLE",4,61,177,117.106383,24.20588467,124,15,NA,120.3,7.5
"145",145,115,115,"Darren Sproles","RB","PHI",7,83,152,116.9347826,14.57425093,99,15,0.344458691,103.2,6.5
"146",146,116,116,"Carlos Hyde","RB","SF",8,73,177,119.0638298,23.25565981,121,15,NA,102.3,6.4
"147",147,117,117,"Andy Dalton","QB","CIN",4,67,176,119.4444444,22.16659705,126,15,0.28033951,251.3,15.7
"148",148,118,118,"Greg Jennings","WR","MIN",10,71,173,120.3777778,20.01920066,156,15,0.400627567,94.9,5.9
"149",149,119,119,"Martellus Bennett","TE","CHI",9,97,171,124.2978723,15.5110323,116,15,0.511996498,101.3,6.3
"150",150,120,120,"Markus Wheaton","WR","PIT",12,96,179,124.0217391,17.86481742,160,15,0.759322034,93.6,5.8
"151",151,121,121,"Darren McFadden","RB","OAK",5,68,163,122.9333333,22.45231985,132,15,0.378879456,92.9,5.8
"152",152,122,122,"Andre Williams","RB","NYG",8,66,182,123.4,24.45531072,136,15,NA,105.9,6.6
"153",153,123,123,"Brian Hartline","WR","MIA",5,98,186,125.7391304,16.03180912,164,15,0.404735999,102.5,6.4
"154",154,124,124,"Christopher Ivory","RB","NYJ",11,89,165,124.3555556,17.50829081,145,15,NA,94.4,5.9
"155",155,125,125,"Hakeem Nicks","WR","IND",10,54,191,125.1333333,21.94396905,133,15,0.411702162,100.4,6.3
"156",156,126,126,"Shonn Greene","RB","TEN",9,60,191,130.0869565,24.83320541,162,16,0.443421339,95.3,6
